ALG,p_ni,p_nb,p_c,encoding_precision,label_precision,precision
Ours (GRD),0,25,25,0.994413407821229,0.994413407821229,0.994413407821229
Ours (RDM),0,25,25,0.994413407821229,0.9888268156424581,0.9888268156424581
VoG,0,25,25,0.39664804469273746,0.6871508379888268,0.36312849162011174
Ours (GRD),5,25,25,1.0,1.0,1.0
Ours (RDM),5,25,25,1.0,1.0,1.0
VoG,5,25,25,0.3146067415730337,0.5898876404494382,0.25280898876404495
Ours (GRD),10,25,25,0.8202247191011236,0.9943820224719101,0.8202247191011236
Ours (RDM),10,25,25,0.9101123595505618,0.9943820224719101,0.9101123595505618
VoG,10,25,25,0.39325842696629215,0.6460674157303371,0.38764044943820225
Ours (GRD),15,25,25,0.7861271676300579,0.9884393063583815,0.7803468208092486
Ours (RDM),15,25,25,0.8323699421965318,0.9884393063583815,0.8208092485549133
VoG,15,25,25,0.28901734104046245,0.7456647398843931,0.2832369942196532
Ours (GRD),20,25,25,0.6035502958579881,0.9822485207100592,0.5976331360946746
Ours (RDM),20,25,25,0.6331360946745562,0.9822485207100592,0.6331360946745562
VoG,20,25,25,0.35502958579881655,0.621301775147929,0.2781065088757396
Ours (GRD),25,25,25,0.503030303030303,0.9757575757575757,0.4909090909090909
Ours (RDM),25,25,25,0.5333333333333333,0.9878787878787879,0.5272727272727272
VoG,25,25,25,0.3939393939393939,0.6,0.32727272727272727
Ours (GRD),30,25,25,0.38285714285714284,0.9828571428571429,0.37142857142857144
Ours (RDM),30,25,25,0.4057142857142857,0.9942857142857143,0.4
VoG,30,25,25,0.32,0.84,0.2857142857142857
Ours (GRD),35,25,25,0.3508771929824561,0.9824561403508771,0.3508771929824561
Ours (RDM),35,25,25,0.4619883040935672,0.9707602339181286,0.45614035087719296
VoG,35,25,25,0.2631578947368421,0.6140350877192983,0.15789473684210525
Ours (GRD),40,25,25,0.3333333333333333,0.9887005649717514,0.3333333333333333
Ours (RDM),40,25,25,0.3389830508474576,0.9943502824858758,0.3389830508474576
VoG,40,25,25,0.2655367231638418,0.6101694915254238,0.23163841807909605
Ours (GRD),45,25,25,0.17613636363636365,0.9886363636363636,0.17613636363636365
Ours (RDM),45,25,25,0.17045454545454544,0.9829545454545454,0.17045454545454544
VoG,45,25,25,0.2727272727272727,0.6818181818181818,0.22727272727272727
Ours (GRD),50,25,25,0.37058823529411766,0.9823529411764705,0.37058823529411766
Ours (RDM),50,25,25,0.32941176470588235,1.0,0.32941176470588235
VoG,50,25,25,0.3352941176470588,0.7,0.2823529411764706
Ours (GRD),25,0,25,0.5280898876404494,1.0,0.5280898876404494
Ours (RDM),25,0,25,0.5280898876404494,1.0,0.5280898876404494
VoG,25,0,25,0.4943820224719101,0.4606741573033708,0.39325842696629215
Ours (GRD),25,5,25,0.5371428571428571,1.0,0.5371428571428571
Ours (RDM),25,5,25,0.5771428571428572,0.9885714285714285,0.5771428571428572
VoG,25,5,25,0.32571428571428573,0.49142857142857144,0.17714285714285713
Ours (GRD),25,10,25,0.5698924731182796,1.0,0.5698924731182796
Ours (RDM),25,10,25,0.5860215053763441,0.9838709677419355,0.5860215053763441
VoG,25,10,25,0.3978494623655914,0.6344086021505376,0.3172043010752688
Ours (GRD),25,15,25,0.591715976331361,1.0,0.591715976331361
Ours (RDM),25,15,25,0.6035502958579881,1.0,0.6035502958579881
VoG,25,15,25,0.27218934911242604,0.47337278106508873,0.20118343195266272
Ours (GRD),25,20,25,0.31216931216931215,0.9947089947089947,0.30687830687830686
Ours (RDM),25,20,25,0.3544973544973545,1.0,0.3544973544973545
VoG,25,20,25,0.37037037037037035,0.7142857142857143,0.31746031746031744
Ours (GRD),25,25,25,0.503030303030303,0.9757575757575757,0.4909090909090909
Ours (RDM),25,25,25,0.5333333333333333,0.9878787878787879,0.5272727272727272
VoG,25,25,25,0.3939393939393939,0.6,0.32727272727272727
Ours (GRD),25,30,25,0.48255813953488375,0.9593023255813954,0.46511627906976744
Ours (RDM),25,30,25,0.46511627906976744,0.9825581395348837,0.46511627906976744
VoG,25,30,25,0.3081395348837209,0.6453488372093024,0.23255813953488372
Ours (GRD),25,35,25,0.31843575418994413,0.9553072625698324,0.3016759776536313
Ours (RDM),25,35,25,0.4134078212290503,0.9497206703910615,0.39664804469273746
VoG,25,35,25,0.29608938547486036,0.7430167597765364,0.2905027932960894
Ours (GRD),25,40,25,0.25654450261780104,0.9633507853403142,0.2513089005235602
Ours (RDM),25,40,25,0.28272251308900526,0.9214659685863874,0.2670157068062827
VoG,25,40,25,0.31413612565445026,0.7382198952879581,0.225130890052356
Ours (GRD),25,45,25,0.2603550295857988,0.9467455621301775,0.24260355029585798
Ours (RDM),25,45,25,0.30177514792899407,0.8875739644970414,0.26627218934911245
VoG,25,45,25,0.24260355029585798,0.6863905325443787,0.17159763313609466
Ours (GRD),25,50,25,0.3475609756097561,0.9085365853658537,0.31097560975609756
Ours (RDM),25,50,25,0.35365853658536583,0.8353658536585366,0.3048780487804878
VoG,25,50,25,0.15853658536585366,0.7012195121951219,0.1524390243902439
Ours (GRD),25,25,0,0.24157303370786518,0.8820224719101124,0.20786516853932585
Ours (RDM),25,25,0,0.24719101123595505,0.8707865168539326,0.19662921348314608
VoG,25,25,0,0.449438202247191,0.8820224719101124,0.398876404494382
Ours (GRD),25,25,5,0.42045454545454547,0.9431818181818182,0.39204545454545453
Ours (RDM),25,25,5,0.35795454545454547,0.8977272727272727,0.3409090909090909
VoG,25,25,5,0.3068181818181818,0.5511363636363636,0.23863636363636365
Ours (GRD),25,25,10,0.38372093023255816,0.9476744186046512,0.36627906976744184
Ours (RDM),25,25,10,0.3488372093023256,0.9244186046511628,0.31976744186046513
VoG,25,25,10,0.31976744186046513,0.627906976744186,0.22093023255813954
Ours (GRD),25,25,15,0.5659340659340659,0.9835164835164835,0.5604395604395604
Ours (RDM),25,25,15,0.6483516483516484,0.9945054945054945,0.6483516483516484
VoG,25,25,15,0.37362637362637363,0.5769230769230769,0.2692307692307692
Ours (GRD),25,25,20,0.38372093023255816,0.9767441860465116,0.38372093023255816
Ours (RDM),25,25,20,0.36627906976744184,0.9709302325581395,0.36627906976744184
VoG,25,25,20,0.313953488372093,0.5988372093023255,0.27906976744186046
Ours (GRD),25,25,25,0.503030303030303,0.9757575757575757,0.4909090909090909
Ours (RDM),25,25,25,0.5333333333333333,0.9878787878787879,0.5272727272727272
VoG,25,25,25,0.3939393939393939,0.6,0.32727272727272727
Ours (GRD),25,25,30,0.489247311827957,0.9838709677419355,0.4838709677419355
Ours (RDM),25,25,30,0.5752688172043011,1.0,0.5752688172043011
VoG,25,25,30,0.3064516129032258,0.5860215053763441,0.21505376344086022
Ours (GRD),25,25,35,0.6781609195402298,0.9770114942528736,0.6781609195402298
Ours (RDM),25,25,35,0.6896551724137931,0.9942528735632183,0.6896551724137931
VoG,25,25,35,0.3735632183908046,0.5977011494252874,0.3103448275862069
Ours (GRD),25,25,40,0.4725274725274725,1.0,0.4725274725274725
Ours (RDM),25,25,40,0.4945054945054945,0.9945054945054945,0.489010989010989
VoG,25,25,40,0.25274725274725274,0.6208791208791209,0.21978021978021978
Ours (GRD),25,25,45,0.4576271186440678,0.9887005649717514,0.4576271186440678
Ours (RDM),25,25,45,0.5141242937853108,0.9943502824858758,0.5141242937853108
VoG,25,25,45,0.2994350282485876,0.4858757062146893,0.2598870056497175
Ours (GRD),25,25,50,0.3795180722891566,1.0,0.3795180722891566
Ours (RDM),25,25,50,0.39156626506024095,0.9939759036144579,0.39156626506024095
VoG,25,25,50,0.20481927710843373,0.6024096385542169,0.1566265060240964
