,name,accuracy,time,clique-precision,clique-recall,bipartite core-precision,bipartite core-recall,star-precision,star-recall,chain-precision,chain-recall,none-precision,none-recall
0,1-1661934866373,0.25658553136270257,0.8202059484033521,-0.08000000000000007,0.0,inf,inf,-0.052631578947368356,-0.04444444444444451,-0.24025974025974017,0.09375000000000006,0.45454545454545453,1.702205104040756
1,3-1661999533002,0.2484470503292628,-0.44281312076605717,-0.19999999999999996,-0.19999999999999996,inf,inf,-0.06278026905829602,0.0,0.07142857142857133,0.22171945701357468,0.5111111111111112,2.2184275408638485
2,5-1662002195049,0.38860378997656114,-0.019967622304267744,0.24999999999999994,0.14204545454545456,inf,inf,-0.12820512820512822,0.0,-0.061776061776061694,0.1675251410350748,0.8476190476190469,6.088074167720186
3,9-1662010258606,0.22734762217761287,0.42916188487458046,-0.08000000000000007,0.0,15.875000000000002,3.6666666666666656,-0.10526315789473682,0.0,-0.01680672268907557,0.3333333333333335,-0.038461538461538464,1.3106139856373773
4,0-1661933688574,0.19601270976585605,0.0036920367171358374,0.2521246458923512,-0.02002224694104577,3.113839285714285,0.7499999999999998,-0.1569506726457399,0.5090090090090091,-0.18095238095238095,0.6321839080459773,-0.19316239316239323,-0.23200543232231785
5,11-1662013922332,0.28600255305327177,-0.25574657714272064,0.0,0.0,15.654411764705884,3.6666666666666656,-0.09417040358744402,-0.08271604938271603,-0.11428571428571437,0.6973684210526317,-0.17264957264957279,0.7517492480317806
6,2-1661935567051,0.24787610955133366,0.00661306079507023,0.0,-0.033333333333333215,inf,inf,-0.28251121076233193,-0.19999999999999996,-0.3142857142857144,0.1570247933884297,0.2972972972972974,0.752928870292887
7,6-1662003410816,0.21334380451641569,-0.10557188177351413,-0.08646153846153859,0.0,15.654411764705884,3.6666666666666656,-0.09417040358744402,-0.12755102040816318,-0.2009685230024211,1.173913043478261,0.04712041884816752,0.5732285156467068
8,10-1662013153023,0.2692875318261238,-0.2712051604918109,-0.04800000000000004,0.0,inf,inf,-0.09417040358744402,0.08695652173913052,-0.30672268907563005,0.23626373626373628,0.20967741935483886,0.7233324660992746
9,4-1662000612817,0.17115608373699284,-0.22108240594382542,-0.1064047472887251,0.0,inf,inf,0.004975124378109435,0.03820224719101139,-0.2009685230024211,0.9373776908023488,0.00512820512820511,0.49912503270830777
10,8-1662009390411,0.2367240891889576,0.09284279390588611,0.0,0.15727321524422966,inf,inf,-0.28251121076233193,-0.19999999999999996,-0.2517006802721089,0.0,-0.07692307692307693,0.21458542260018437
11,7-1662008650057,0.04408835471473745,-0.32299733629529065,0.0,0.0,3.0,0.0,0.11602209944751374,0.12499999999999997,-0.4552058111380145,-0.10256410256410259,0.11229946524064177,-0.0036839449297618554
12,12-1662090291751,0.2375744126116144,-0.3559082356515946,-0.04800000000000004,0.0,15.875000000000002,3.6666666666666656,-0.10526315789473682,0.19205673758865247,-0.099273607748184,0.48514851485148536,-0.11586452762923356,1.6041036962150674
13,13-1662121289542,0.28433456340816465,-0.4501466771210728,0.0,0.06768837803320572,15.922268907563026,3.6666666666666656,-0.03139013452914801,0.0,-0.1317254174397031,0.6632743362831854,0.7408637873754154,1.5207115628970773
14,14-1662122943293,0.2521416348841076,-0.24882940722147134,-0.04800000000000004,0.08010981977832671,inf,inf,-0.12556053811659204,-0.1428571428571429,-0.21848739495798317,0.3815789473684213,0.005464480874316921,0.4294275622805551
